# dob,ondate,format,print
2000-04-17,2003-03-16,%Y,2 years
2000-04-17,2003-03-16,%M,34 months
2000-04-17,2003-03-16,%W,151 weeks
2000-04-17,2003-03-16,%D,1063 days
2000-04-17,2003-03-16,%Y %M,2 years 10 months
2000-04-17,2003-03-16,%Y %W,2 years 47 weeks
2000-04-17,2003-03-16,%Y %D,2 years 333 days
2000-04-17,2003-03-16,%M %W,34 months 3 weeks
2000-04-17,2003-03-16,%M %D,34 months 27 days
2000-04-17,2003-03-16,%W %D,151 weeks 6 days
2000-04-17,2003-03-16,%Y %M %W,2 years 10 months 3 weeks
2000-04-17,2003-03-16,%Y %M %D,2 years 10 months 27 days
2000-04-17,2003-03-16,%Y %W %D,2 years 47 weeks 4 days
2000-04-17,2003-03-16,%M %W %D,34 months 3 weeks 6 days
2000-04-17,2003-03-16,%Y %M %W %D,2 years 10 months 3 weeks 6 days
2000-04-17,2003-04-17,%Y,3 years
2000-04-17,2003-04-17,%M,36 months
2000-04-17,2003-04-17,%W,156 weeks
2000-04-17,2003-04-17,%D,1095 days
2000-04-17,2003-04-17,%Y %M,3 years
2000-04-17,2003-04-17,%Y %W,3 years
2000-04-17,2003-04-17,%Y %D,3 years
2000-04-17,2003-04-17,%M %W,36 months
2000-04-17,2003-04-17,%M %D,36 months
2000-04-17,2003-04-17,%W %D,156 weeks 3 days
2000-04-17,2003-04-17,%Y %M %W,3 years
2000-04-17,2003-04-17,%Y %M %D,3 years
2000-04-17,2003-04-17,%Y %W %D,3 years
2000-04-17,2003-04-17,%M %W %D,36 months
2000-04-17,2003-04-17,%Y %M %W %D,3 years
